case_id,canonical_selection_index,release_relative_path,private_reference_filename,historical_private_filename,match_status,identity_status,dataset_repository,dataset_revision,split,streaming,shuffle_seed,shuffle_buffer_size,minimum_resolution,selected_stream_index,source_path_or_key,imagenet_label,source_width,source_height,pre_transform_width,pre_transform_height,post_exif_width,post_exif_height,post_transform_width,post_transform_height,source_exif_orientation,applied_exif_transform,applied_resize,resize_resampling,resize_dimension_rounding,max_side,pre_normalization_png_size_bytes,png_size_trigger_bytes,png_compress_level,png_optimize,icc_profile_preserved,source_file_sha256,source_decoded_rgb_sha256,reconstructed_decoded_rgb_sha256,archived_decoded_rgb_sha256,private_file_sha256,post_preprocessing_match_status,datasets_version,pillow_version,python_version,hash_algorithm
1,1,data/raw_images/normal/1.png,1.png,1.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,1,n02105162_3689_n02105162.JPEG,225,500,333,500,333,500,333,500,333,,false,false,,,,389990,3145728,6,false,false,90f83d90b0f0ad2c3d3aad6199d4a9258602da8097743ca598b246e1a793b388,f748f91199c31885e836453be0ed93336f5f0a6237736d360aa77750caf84fac,f748f91199c31885e836453be0ed93336f5f0a6237736d360aa77750caf84fac,f748f91199c31885e836453be0ed93336f5f0a6237736d360aa77750caf84fac,36a204c2b79fd2c93be4863ba205d79b2fa4c032f3bf9f3330bb7edfce8e4e87,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
12,12,data/raw_images/normal/12.png,12.png,12.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,13,n03461385_11271_n03461385.JPEG,582,500,375,500,375,500,375,500,375,,false,false,,,,418676,3145728,6,false,false,0287c8cf6363647ffda32cfb12e6dc10bae37e1d7ad0eb524f47e9df7caebdde,45cd52359751cf3933135f3bf42dc8d9376320697bb45a6ac9c70e49f68e17dd,45cd52359751cf3933135f3bf42dc8d9376320697bb45a6ac9c70e49f68e17dd,45cd52359751cf3933135f3bf42dc8d9376320697bb45a6ac9c70e49f68e17dd,97064406df0b6637ef5036da8e82c29d068b4a06ddf8b9f4739c4ff1e3bc6298,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
13,13,data/raw_images/normal/13.png,13.png,13.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,14,n04584207_2347_n04584207.JPEG,903,425,500,425,500,425,500,425,500,,false,false,,,,393632,3145728,6,false,true,50af9b985d485d8d824669b47d390d18e84a51f5fe8d373269a09183a85cc6ad,c1e18a8a55fc7e2b7a1b13ed870b9f9590fa183e22b083b451a7b1fcec1ec177,c1e18a8a55fc7e2b7a1b13ed870b9f9590fa183e22b083b451a7b1fcec1ec177,c1e18a8a55fc7e2b7a1b13ed870b9f9590fa183e22b083b451a7b1fcec1ec177,2556cf1a84bd1118c561c0f7a8524762157559128c197e7ff0a92ebd2d3cedcc,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
14,14,data/raw_images/normal/14.png,14.png,14.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,15,n03482405_32790_n03482405.JPEG,588,381,500,381,500,381,500,381,500,,false,false,,,,400287,3145728,6,false,false,f30e17f78fa51396c400dd95fa2d85e8d1a9d085b16051755c28703d482c0c2a,3f9d2f3f0eeba3cd739074046aeae6a2762620ca4278add8ca6e90cb1136db12,3f9d2f3f0eeba3cd739074046aeae6a2762620ca4278add8ca6e90cb1136db12,3f9d2f3f0eeba3cd739074046aeae6a2762620ca4278add8ca6e90cb1136db12,412ffb229900d76d31460020a3dfb4b3faa3b55b6d523b1ce7af83be268a6b12,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
15,15,data/raw_images/normal/15.png,15.png,15.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,16,n02113186_2039_n02113186.JPEG,264,500,375,500,375,500,375,500,375,,false,false,,,,378129,3145728,6,false,false,5fc0f89251b3167b511fb1533e3ad6c870624c2ba51d2d8e25dcddc4aa926591,2d0b4b8b5f71c34bc2342cecc5343f1de451b2256c4d7c5292871be8ae5f9dd8,2d0b4b8b5f71c34bc2342cecc5343f1de451b2256c4d7c5292871be8ae5f9dd8,2d0b4b8b5f71c34bc2342cecc5343f1de451b2256c4d7c5292871be8ae5f9dd8,8c61dadfcfe077e48ba391956a0ef06bd0e85fe7f0371f52b28958a648dd081c,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
16,16,data/raw_images/normal/16.png,16.png,16.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,17,n03400231_7542_n03400231.JPEG,567,500,333,500,333,500,333,500,333,,false,false,,,,391234,3145728,6,false,false,23bf3e27ad839474cd19044639441f2fc488f21fd08fa4d1d81dfa6974e0a405,ccdd6e1823fa25d4d96c2dfefd83ce3482e80c5a5ae5b8f4d3cde54172b41dc8,ccdd6e1823fa25d4d96c2dfefd83ce3482e80c5a5ae5b8f4d3cde54172b41dc8,ccdd6e1823fa25d4d96c2dfefd83ce3482e80c5a5ae5b8f4d3cde54172b41dc8,f18c939cf679e67cf4870508313297430fcf9c4cc0d095adb7520ce3a6fa085f,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
17,17,data/raw_images/normal/17.png,17.png,17.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,18,n04355338_5890_n04355338.JPEG,835,500,332,500,332,500,332,500,332,,false,false,,,,251400,3145728,6,false,true,1badc919be66ed1c018d46dd880688b90c0c2ae17763f2c0ecff84a5b52eaaa8,c30368407cd46d8a85d33e6714a061fbc18baa9028c90ae535c52615210ee081,c30368407cd46d8a85d33e6714a061fbc18baa9028c90ae535c52615210ee081,c30368407cd46d8a85d33e6714a061fbc18baa9028c90ae535c52615210ee081,8a87920d24b134a02e7d62f329d4aede6a94f3cf0e67aea7220502c1fc7558b5,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
18,18,data/raw_images/normal/18.png,18.png,18.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,19,n02484975_10353_n02484975.JPEG,370,334,500,334,500,334,500,334,500,,false,false,,,,340438,3145728,6,false,true,ec17af01e290f73d6916832b04658d6706ab4c1581e4698d3094ce9b2adc1d60,74e3623ec9e5412d2e55f2de24df8fb3abf14cebe88b8c7bc67e3f2dc2b1a725,74e3623ec9e5412d2e55f2de24df8fb3abf14cebe88b8c7bc67e3f2dc2b1a725,74e3623ec9e5412d2e55f2de24df8fb3abf14cebe88b8c7bc67e3f2dc2b1a725,d29ce1ca82b76283ab50c6f4dacc3004ca75d23ea8e28d0ad03a1089dc3201c8,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
19,19,data/raw_images/normal/19.png,19.png,19.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,20,n02965783_1624_n02965783.JPEG,475,500,401,500,401,500,401,500,401,,false,false,,,,401361,3145728,6,false,true,b669efb5173068bd32f9a44d2eb7bf622a576dc3045b2232e03d4004d7e7f4e2,739df7841050e350e4b5e9e8a83fcc5bd2cf9b71186118ffe11304fb43c04fb9,739df7841050e350e4b5e9e8a83fcc5bd2cf9b71186118ffe11304fb43c04fb9,739df7841050e350e4b5e9e8a83fcc5bd2cf9b71186118ffe11304fb43c04fb9,f19e96fff4c56e9c3cb020d4842eb8d6e2d73d975cd165b419973ca48f656fa2,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
20,20,data/raw_images/normal/20.png,20.png,20.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,21,n03792972_16299_n03792972.JPEG,672,500,333,500,333,500,333,500,333,,false,false,,,,309833,3145728,6,false,false,40fc32a1b51a8e4578b13c54e6ea76f323c8dad96ed7df25dd947f6f7934b3c2,1a3410c412d480fe4e6562952700b10f49ebcf2ee4ece557b05106ffddd2c694,1a3410c412d480fe4e6562952700b10f49ebcf2ee4ece557b05106ffddd2c694,1a3410c412d480fe4e6562952700b10f49ebcf2ee4ece557b05106ffddd2c694,a474a6adb48bebb49fed4a9bd78260b29ce84183a1008c196e513e7d112f04e2,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
21,21,data/raw_images/normal/21.png,21.png,21.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,22,n02106662_47137_n02106662.JPEG,235,600,449,600,449,600,449,600,449,,false,false,,,,555376,3145728,6,false,false,0c92aed4b475b8a206c6f5bdb564cd8f4b75044d4b29545e5d9c968918e2ab51,3e6dbdcf358c85a6342754554e2408783435100b9ad81be617b52ba4b0cf8021,3e6dbdcf358c85a6342754554e2408783435100b9ad81be617b52ba4b0cf8021,3e6dbdcf358c85a6342754554e2408783435100b9ad81be617b52ba4b0cf8021,1987e4ebec44a4b4bdb83779d3423fcc835ee0b63918985bb79f75e796e714b1,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
22,22,data/raw_images/normal/22.png,22.png,22.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,24,n02098413_13538_n02098413.JPEG,204,500,334,500,334,500,334,500,334,,false,false,,,,293740,3145728,6,false,true,68e244a8b47aa86cb8c413e19254ccf118f7fd229735ec1fee2d4bc0ab4aca05,e335632bd36bc67ce86bf22e316f3b13c49de33cd879312601a23a2b3593ba01,e335632bd36bc67ce86bf22e316f3b13c49de33cd879312601a23a2b3593ba01,e335632bd36bc67ce86bf22e316f3b13c49de33cd879312601a23a2b3593ba01,76b2c4fb9ea8c5c493a1ccce76041b09c32e1a8f9e8f938a2e454093a02b81bd,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
23,23,data/raw_images/normal/23.png,23.png,23.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,25,n01685808_10472_n01685808.JPEG,41,500,281,500,281,500,281,500,281,,false,false,,,,341544,3145728,6,false,true,c9e5f80afa28ec65b5861335de5f85010bc74de5850d60ed7fa1495f3212e67e,ee77552fb5c1d6ef63dac68a1329ceca7247d8b4232c122adccd3b8e388c01aa,ee77552fb5c1d6ef63dac68a1329ceca7247d8b4232c122adccd3b8e388c01aa,ee77552fb5c1d6ef63dac68a1329ceca7247d8b4232c122adccd3b8e388c01aa,6daa75c5fe9f60c160ce65ee813da0333e495e2bb84df1a7a2e437d84fcdf13a,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
24,24,data/raw_images/normal/24.png,24.png,24.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,26,n02109525_72090_n02109525.JPEG,247,500,334,500,334,500,334,500,334,,false,false,,,,374519,3145728,6,false,true,aae91e6c45245648aff5a133171dc26476dc6a96514b8b59ecc96b7955064a06,56b3e8485c48c8c54e1c88eef49d002d8f6222a9eab777199a9b940e2541aed2,56b3e8485c48c8c54e1c88eef49d002d8f6222a9eab777199a9b940e2541aed2,56b3e8485c48c8c54e1c88eef49d002d8f6222a9eab777199a9b940e2541aed2,f0a7e4b8ce20ffe621e1689c7b5259bbc68e434c5022d82cbe8481c6a3d09d5a,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
25,25,data/raw_images/normal/25.png,25.png,25.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,27,n07860988_21966_n07860988.JPEG,961,333,500,333,500,333,500,333,500,,false,false,,,,189651,3145728,6,false,false,d59d0864d3a67704b99c559c72072fb9f57191932e1f696a32df3871523940d5,ffe6a63c26c6c34dc122ed3b00f1dcd850793db491daa6a4cba64fafd51ae308,ffe6a63c26c6c34dc122ed3b00f1dcd850793db491daa6a4cba64fafd51ae308,ffe6a63c26c6c34dc122ed3b00f1dcd850793db491daa6a4cba64fafd51ae308,5467ae91a4ee3d575b7d0cc3bd57b5f14de5779459b39d3c25fc6837a77e049e,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
26,26,data/raw_images/normal/26.png,26.png,26.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,28,n03770679_4539_n03770679.JPEG,656,500,375,500,375,500,375,500,375,,false,false,,,,423815,3145728,6,false,false,469c75b35720569b27aa3ca2fa164b34fe864bbc41f9c3405412a772d46c4f5e,dfa18359eda139b12645c3d27ad519d64635a7f75d2052b274fed3bf4f372bf0,dfa18359eda139b12645c3d27ad519d64635a7f75d2052b274fed3bf4f372bf0,dfa18359eda139b12645c3d27ad519d64635a7f75d2052b274fed3bf4f372bf0,c673f39ab07a0f84edaabbe92260eb015011b931fdba41df1a5c7851136a936a,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
27,27,data/raw_images/normal/27.png,27.png,27.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,30,n01629819_1686_n01629819.JPEG,25,510,384,510,384,510,384,510,384,1,false,false,,,,395020,3145728,6,false,false,81b38e9f85fd41ea807012db12fb779d42c740b66895881aa983f727454bc95d,7a021f77f61c28398616e2b2cf92c8fabd1039783fba0ebdbcd08b68a704050c,7a021f77f61c28398616e2b2cf92c8fabd1039783fba0ebdbcd08b68a704050c,7a021f77f61c28398616e2b2cf92c8fabd1039783fba0ebdbcd08b68a704050c,f0abe6cc397f05cd04601c22894cac52e75d0ae9bab3f4cdaace9a0cc13d5b10,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
28,28,data/raw_images/normal/28.png,28.png,28.png,exact_post_preprocessing_match,exact_post_preprocessing_match,ILSVRC/imagenet-1k,49e2ee26f3810fb5a7536bbf732a7b07389a47b5,train,true,42,10000,256,31,n02504458_11258_n02504458.JPEG,386,333,500,333,500,333,500,333,500,,false,false,,,,379602,3145728,6,false,false,51d0dc249cce6f8e9281c1937c7262136517b9dff5638d0940caeaac8ada4562,66ff863923e6f004cde54953faa96cd28d06a5f045a1a7d65222778068c33d18,66ff863923e6f004cde54953faa96cd28d06a5f045a1a7d65222778068c33d18,66ff863923e6f004cde54953faa96cd28d06a5f045a1a7d65222778068c33d18,82cab11081d55499bcf9d4d2c52d6b14c6d4b268c266b3c57f89d3e4bb6376b4,exact,4.4.2,12.3.0,3.11.15,sha256(big_endian_uint32(width) || big_endian_uint32(height) || RGB_pixel_bytes_row_major)
